"poly_ID","polygon_num","poly_cat","poly_type"
"23E",30,"bare","point"
"23E",31,"bare","point"
"OC",49,"bare","point"
"OC",50,"bare","point"
"OC",51,"bare","point"
"OC",52,"bare","point"
"OC",53,"bare","point"
"ST",54,"bare","point"
"ST",55,"bare","point"
"ST",56,"bare","point"
"ST",57,"bare","point"
"19N",88,"bare","point"
"6E",47,"bare","point"
"6E",45,"bare","point"
"6E",44,"bare","point"
"1E",11,"shrub","point"
"1E",12,"shrub","point"
"1E",13,"shrub","point"
"1E",14,"shrub","point"
"1E",15,"shrub","point"
"1E",16,"shrub","point"
"1E",17,"shrub","point"
"1E",18,"shrub","point"
"1E",19,"shrub","point"
"1E",20,"shrub","point"
"SL",32,"shrub","point"
"SL",33,"shrub","point"
"SL",34,"shrub","point"
"SL",35,"shrub","point"
"SL",36,"shrub","point"
"13W",37,"shrub","point"
"13W",38,"shrub","point"
"13W",39,"shrub","point"
"13W",40,"shrub","point"
"13W",41,"shrub","point"
"13W",21,"shrub","point"
"13W",22,"shrub","point"
"13W",23,"shrub","point"
"13W",24,"shrub","point"
"13W",25,"shrub","point"
"13W",26,"shrub","point"
"13W",27,"shrub","point"
"13W",28,"shrub","point"
"13W",29,"shrub","point"
"13W",30,"shrub","point"
"OC",1,"shrub","point"
"OC",2,"shrub","point"
"OC",3,"shrub","point"
"OC",4,"shrub","point"
"OC",5,"shrub","point"
"OC",6,"shrub","point"
"OC",7,"shrub","point"
"OC",8,"shrub","point"
"OC",9,"shrub","point"
"OC",10,"shrub","point"
"23E",27,"bare","polygon"
"23E",28,"bare","polygon"
"23E",29,"bare","polygon"
"OC",85,"bare","polygon"
"19N",88,"bare","polygon"
"6E",82,"bare","polygon"
"1E",9,"shrub","polygon"
"1E",10,"shrub","polygon"
"1E",11,"shrub","polygon"
"1E",12,"shrub","polygon"
"1E",13,"shrub","polygon"
"1E",14,"shrub","polygon"
"1E",15,"shrub","polygon"
"1E",16,"shrub","polygon"
"1E",17,"shrub","polygon"
"1E",18,"shrub","polygon"
"OC",45,"shrub","polygon"
"OC",46,"shrub","polygon"
"OC",47,"shrub","polygon"
"OC",48,"shrub","polygon"
"OC",49,"shrub","polygon"
"OC",50,"shrub","polygon"
"OC",51,"shrub","polygon"
"OC",52,"shrub","polygon"
