"","specmonth","which_site","year","minbouts","DP","brdf","easting","northing","domain","crs","rgb_DP","h5_filepath","rgb_filepath","hsi_saved_path","spbands_saved_path"
"1",6,"CPER",2024,1,"DP3.30006.002","yes",525000,4522000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_525000_4522000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_525000_4522000_image.tif","/Users/khuelsma/CPER_2024_525000_4522000_HSI.tif","/Users/khuelsma/CPER_2024_525000_4522000_SpBands.tif"
"2",6,"CPER",2024,1,"DP3.30006.002","yes",522000,4517000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_522000_4517000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_522000_4517000_image.tif","/Users/khuelsma/CPER_2024_522000_4517000_HSI.tif","/Users/khuelsma/CPER_2024_522000_4517000_SpBands.tif"
"3",6,"CPER",2024,1,"DP3.30006.002","yes",525000,4518000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_525000_4518000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_525000_4518000_image.tif","/Users/khuelsma/CPER_2024_525000_4518000_HSI.tif","/Users/khuelsma/CPER_2024_525000_4518000_SpBands.tif"
"4",6,"CPER",2024,1,"DP3.30006.002","yes",522000,4522000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_522000_4522000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_522000_4522000_image.tif","/Users/khuelsma/CPER_2024_522000_4522000_HSI.tif","/Users/khuelsma/CPER_2024_522000_4522000_SpBands.tif"
"5",6,"CPER",2024,1,"DP3.30006.002","yes",526000,4523000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_526000_4523000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_526000_4523000_image.tif","/Users/khuelsma/CPER_2024_526000_4523000_HSI.tif","/Users/khuelsma/CPER_2024_526000_4523000_SpBands.tif"
"6",6,"CPER",2024,1,"DP3.30006.002","yes",521000,4516000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_521000_4516000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_521000_4516000_image.tif","/Users/khuelsma/CPER_2024_521000_4516000_HSI.tif","/Users/khuelsma/CPER_2024_521000_4516000_SpBands.tif"
"7",6,"CPER",2024,1,"DP3.30006.002","yes",521000,4519000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_521000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_521000_4519000_image.tif","/Users/khuelsma/CPER_2024_521000_4519000_HSI.tif","/Users/khuelsma/CPER_2024_521000_4519000_SpBands.tif"
"8",6,"CPER",2024,1,"DP3.30006.002","yes",526000,4522000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_526000_4522000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_526000_4522000_image.tif","/Users/khuelsma/CPER_2024_526000_4522000_HSI.tif","/Users/khuelsma/CPER_2024_526000_4522000_SpBands.tif"
"9",6,"CPER",2024,1,"DP3.30006.002","yes",524000,4523000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_524000_4523000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_524000_4523000_image.tif","/Users/khuelsma/CPER_2024_524000_4523000_HSI.tif","/Users/khuelsma/CPER_2024_524000_4523000_SpBands.tif"
"10",6,"CPER",2024,1,"DP3.30006.002","yes",519000,4516000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_519000_4516000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_519000_4516000_image.tif","/Users/khuelsma/CPER_2024_519000_4516000_HSI.tif","/Users/khuelsma/CPER_2024_519000_4516000_SpBands.tif"
"11",6,"CPER",2024,1,"DP3.30006.002","yes",524000,4519000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_524000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_524000_4519000_image.tif","/Users/khuelsma/CPER_2024_524000_4519000_HSI.tif","/Users/khuelsma/CPER_2024_524000_4519000_SpBands.tif"
"12",6,"CPER",2024,1,"DP3.30006.002","yes",525000,4517000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_525000_4517000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_525000_4517000_image.tif","/Users/khuelsma/CPER_2024_525000_4517000_HSI.tif","/Users/khuelsma/CPER_2024_525000_4517000_SpBands.tif"
